Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
1,6.9,3.8,8.7,2.8,1.8,2.99,2
2,5.3,3.5,8.0,4.2,3.0,2.75,1
3,5.1,3.9,9.2,1.2,4.6,2.67,1
4,6.5,2.1,7.2,1.7,6.5,2.88,2
5,8.1,0.6,6.5,2.2,6.6,3.51,3
6,6.0,2.1,8.0,0.3,7.6,2.85,2
7,8.0,0.7,5.3,5.7,4.3,3.08,3
8,8.4,1.8,5.6,3.0,5.2,3.2,3
9,5.2,3.6,6.3,4.0,4.9,2.82,1
10,7.7,0.7,9.8,4.5,1.3,2.76,2
11,9.7,3.6,8.0,2.5,0.2,3.43,3
12,6.9,1.1,9.1,2.1,4.8,2.97,2
13,6.4,2.2,5.7,4.8,4.9,2.82,3
14,5.0,3.3,8.5,4.4,2.8,2.87,1
15,8.9,0.3,6.8,0.7,7.3,3.4,3
16,6.7,0.3,6.6,2.0,8.4,3.2,2
17,8.6,2.6,9.4,1.6,1.8,3.36,3
18,8.8,2.2,8.9,2.0,2.1,3.19,3
19,7.6,1.7,5.1,0.6,9.0,3.16,3
20,6.6,2.0,9.5,1.5,4.4,2.93,2
21,7.1,3.0,6.1,0.5,7.3,2.9,2
22,9.6,3.2,8.2,2.6,0.4,3.34,3
23,9.0,0.7,9.5,2.6,2.2,3.21,3
24,6.1,1.7,9.1,5.2,1.9,2.85,2
25,5.0,2.0,7.1,1.3,8.6,2.68,1
26,9.7,1.3,7.6,3.8,1.6,3.29,3
27,6.8,3.9,9.8,0.9,2.6,2.64,2
28,6.4,0.1,8.0,3.0,6.5,2.95,2
29,5.3,1.1,9.5,1.4,6.7,2.79,1
30,9.9,1.0,8.4,3.6,1.1,3.25,3
31,6.2,2.9,6.8,3.8,4.3,3.05,2
32,5.5,3.3,6.6,1.1,7.5,3.26,1
33,5.2,2.4,8.4,0.1,7.9,2.47,1
34,8.2,0.7,8.5,2.3,4.3,3.24,3
35,9.7,0.6,6.7,0.7,6.3,3.62,3
36,9.1,2.2,7.6,1.2,3.9,3.12,3
37,5.5,3.6,9.5,3.4,2.0,2.58,1
38,8.6,3.6,9.4,1.9,0.5,3.03,3
39,8.2,0.3,5.8,5.4,4.3,3.29,3
40,5.0,0.6,7.7,4.2,6.5,2.61,1
41,8.3,0.9,8.6,1.4,4.8,3.48,3
42,8.2,3.4,8.3,2.3,1.8,3.07,3
43,5.5,1.5,6.3,1.5,9.2,2.81,1
44,9.5,2.5,9.0,1.5,1.5,3.49,3
45,7.9,2.0,6.0,4.3,3.8,2.97,2
46,9.7,3.8,9.6,0.3,0.6,3.55,3
47,5.1,3.7,7.1,5.8,2.3,2.6,1
48,9.3,1.3,5.8,3.3,4.3,3.09,3
49,9.7,2.8,7.9,0.3,3.3,3.47,3
50,9.4,3.0,8.5,2.2,0.9,3.18,3
51,6.8,1.2,9.0,4.9,2.1,3.12,2
52,9.0,2.6,8.5,3.1,0.8,4.0,3
53,9.5,1.4,6.9,0.6,5.6,3.33,3
54,7.3,2.2,6.4,3.5,4.6,3.11,2
55,5.2,0.1,9.1,2.2,7.4,2.79,1
56,8.8,0.9,8.1,0.5,5.7,3.1,3
57,5.3,2.1,7.7,3.8,5.1,2.39,1
58,9.0,1.1,7.2,0.5,6.2,3.39,3
59,5.1,3.9,9.2,4.0,1.8,2.52,1
60,5.8,1.0,7.7,4.3,5.2,2.8,1
61,8.3,1.1,9.8,3.5,1.3,3.67,3
62,7.1,1.0,6.8,4.5,4.6,3.27,2
63,5.1,0.5,5.2,0.2,13.0,2.85,3
64,7.4,0.4,7.5,2.8,5.9,3.26,2
65,5.9,1.7,7.0,3.7,5.7,2.8,1
66,6.9,2.5,7.5,5.1,2.0,3.06,2
67,8.3,0.7,5.4,3.9,5.7,3.26,3
68,9.7,2.3,6.9,3.3,1.8,3.38,3
69,7.3,2.2,9.7,1.9,2.9,3.15,2
70,5.4,1.3,9.2,0.1,8.0,2.69,1
71,9.1,1.1,5.6,4.2,4.0,3.54,3
72,8.7,3.2,6.4,1.0,4.7,3.37,3
73,8.8,3.2,10.0,0.8,1.2,3.58,3
74,6.7,3.7,9.3,1.8,2.5,2.89,2
75,8.8,3.0,5.5,5.4,1.3,3.58,3
76,6.6,3.6,6.9,0.1,6.8,2.99,2
77,9.5,0.4,6.6,5.7,1.8,3.44,3
78,8.2,1.8,6.5,2.0,5.5,3.35,3
79,8.4,3.0,9.0,2.8,0.8,3.26,3
80,5.3,2.2,7.2,5.3,4.0,2.62,1
81,6.8,0.5,5.7,4.6,6.4,2.86,3
82,5.4,2.8,5.4,4.9,5.5,2.86,3
83,8.5,0.3,5.4,5.9,3.9,2.99,3
84,9.1,3.8,9.9,0.9,0.3,3.08,3
85,6.9,0.3,8.9,3.4,4.5,3.21,2
86,5.6,2.0,5.1,2.8,8.5,2.81,3
87,5.3,0.5,5.6,3.9,8.7,2.9,3
88,9.8,1.5,6.4,5.2,1.1,3.78,3
89,6.1,3.9,5.1,5.8,3.1,2.96,3
90,5.4,2.2,9.8,3.1,3.5,2.81,1
91,8.1,2.8,7.3,3.6,2.2,3.39,3
92,5.2,1.1,9.8,5.3,2.6,2.82,1
93,7.3,2.5,6.4,1.1,6.7,2.67,2
94,7.9,0.3,9.9,5.8,0.1,3.08,2
95,8.5,2.1,6.5,4.9,2.0,3.1,3
96,9.6,3.3,9.7,1.0,0.4,3.54,3
97,8.1,1.7,9.7,3.9,0.6,3.45,3
98,9.9,0.6,8.0,2.1,3.4,3.39,3
99,9.8,3.4,9.2,0.7,0.9,3.15,3
100,5.3,3.5,9.1,6.0,0.1,2.68,1
101,10.0,2.2,8.8,2.8,0.2,3.41,3
102,7.3,0.5,9.8,3.6,2.8,3.22,2
103,6.1,2.7,8.1,2.1,5.0,2.98,2
104,7.6,3.1,7.6,4.9,0.8,2.99,2
105,7.8,2.2,9.4,1.9,2.7,3.3,2
106,8.5,0.9,5.7,0.1,8.8,3.55,3
107,6.8,2.4,7.0,2.6,5.2,2.97,2
108,7.6,3.1,7.0,3.7,2.6,3.28,2
109,9.3,3.8,5.7,4.8,0.4,3.05,3
110,7.3,3.9,7.5,1.7,3.6,3.08,2
111,8.2,1.0,5.4,0.8,8.6,3.3,3
112,5.9,1.4,9.5,2.8,4.4,2.7,1
113,8.3,0.7,6.0,0.2,8.8,3.14,3
114,5.9,0.4,5.6,2.8,9.3,2.73,3
115,6.0,1.5,7.5,4.1,4.9,2.76,2
116,9.4,3.7,5.3,1.6,4.0,3.45,3
117,9.0,3.0,5.9,1.3,4.8,3.29,3
118,8.1,1.5,7.3,4.5,2.6,2.75,3
119,5.2,1.0,8.6,5.4,3.8,3.4,1
120,5.5,1.8,7.7,1.5,7.5,3.05,1
121,6.3,1.5,5.1,1.9,9.2,2.82,3
122,5.6,3.6,8.0,4.1,2.7,2.62,1
123,8.9,2.0,5.4,3.2,4.5,3.64,3
124,7.2,0.5,6.4,2.2,7.7,3.19,2
125,8.2,2.3,6.8,5.9,0.8,2.95,3
126,5.5,0.6,6.2,1.0,10.7,2.94,1
127,5.9,1.1,5.9,5.4,5.7,2.89,3
128,7.1,3.9,5.6,2.4,5.0,2.9,3
129,9.8,3.5,9.1,0.4,1.2,3.57,3
130,9.6,2.2,7.9,1.2,3.1,3.24,3
131,8.8,0.7,6.6,2.6,5.3,2.99,3
132,5.6,2.4,6.4,3.5,6.1,2.85,1
133,5.8,1.9,7.7,0.3,8.3,2.7,1
134,5.3,4.0,6.6,4.9,3.2,2.72,1
135,6.3,2.7,8.8,3.6,2.6,2.45,2
136,6.7,3.7,9.2,4.2,0.2,2.85,2
137,5.6,2.9,9.7,1.1,4.7,2.86,1
138,7.9,3.4,5.7,4.8,2.2,3.15,3
139,6.0,0.7,5.8,4.9,6.6,2.96,3
140,6.8,3.5,7.0,4.9,1.8,3.44,2
141,7.2,1.5,7.3,1.8,6.2,3.08,2
142,6.2,3.6,6.9,3.3,4.0,3.27,2
143,9.5,2.5,5.6,5.6,0.8,3.13,3
144,5.7,3.2,8.1,3.2,3.8,3.08,1
145,9.5,3.2,5.8,1.7,3.8,3.59,3
146,5.2,2.3,8.8,5.3,2.4,2.61,1
147,6.7,3.3,5.6,5.1,3.3,2.95,3
148,9.0,0.6,6.1,4.3,4.0,3.15,3
149,8.6,2.6,8.5,2.3,2.0,3.14,3
150,5.9,3.6,7.9,2.4,4.2,2.64,1
151,7.3,3.8,5.8,3.5,3.6,3.58,3
152,5.1,3.5,9.7,3.2,2.5,2.79,1
153,8.5,3.7,8.5,0.5,2.8,3.65,3
154,7.1,2.9,9.7,4.0,0.3,3.33,2
155,7.3,0.5,9.9,5.0,1.3,3.11,2
156,8.0,1.6,5.3,2.0,7.1,3.42,3
157,9.0,0.0,6.7,2.4,5.9,3.51,3
158,6.7,1.4,8.7,2.7,4.5,3.02,2
159,6.1,1.8,5.7,1.1,9.3,2.38,3
160,9.6,1.4,7.9,3.2,1.9,3.43,3
161,5.1,2.7,5.9,5.8,4.5,2.71,3
162,5.4,4.0,7.5,3.6,3.5,2.59,1
163,5.3,3.0,6.0,5.4,4.3,2.68,1
164,5.2,1.9,7.8,0.4,8.7,2.67,1
165,8.9,1.8,7.6,2.5,3.2,3.58,3
166,5.8,0.7,9.3,5.7,2.5,2.46,1
167,6.9,1.1,8.2,2.5,5.3,3.22,2
168,5.1,0.9,6.2,4.0,7.8,3.02,1
169,5.1,0.4,9.0,1.1,8.4,2.52,1
170,5.5,1.0,8.6,5.1,3.8,2.97,1
171,9.2,1.6,8.3,1.0,3.9,3.5,3
172,5.1,0.3,6.0,0.2,12.4,2.7,1
173,5.9,2.3,7.1,5.4,3.3,2.78,1
174,6.3,1.5,8.0,1.6,6.6,3.15,2
175,8.1,1.6,7.8,2.6,3.9,3.26,3
176,8.8,0.6,9.3,2.6,2.7,3.3,3
177,9.5,3.2,7.1,0.1,4.1,3.49,3
178,8.2,1.0,5.7,5.0,4.1,2.89,3
179,9.9,2.1,5.9,1.6,4.5,3.52,3
180,6.4,2.2,8.3,5.0,2.1,2.76,2
181,6.0,0.0,5.7,5.4,6.9,2.95,3
182,8.0,2.7,5.9,5.5,1.9,3.4,3
183,7.1,1.5,7.6,0.3,7.5,3.17,2
184,5.4,2.4,6.2,2.3,7.7,2.66,1
185,6.4,1.4,8.6,1.8,5.8,2.77,2
186,8.3,3.7,8.7,0.7,2.6,3.77,3
187,5.2,1.0,8.0,0.3,9.5,3.29,1
188,6.7,3.1,5.5,0.5,8.2,2.99,3
189,8.6,2.0,8.4,2.2,2.8,3.43,3
190,9.0,2.8,6.4,3.4,2.4,3.24,3
191,6.8,0.4,9.6,0.8,6.4,3.01,2
192,5.9,2.2,9.4,4.4,2.1,3.01,1
193,9.0,2.6,8.5,3.3,0.6,3.34,3
194,6.1,4.0,9.7,0.2,4.0,2.58,2
195,8.5,3.7,5.9,3.4,2.5,3.06,3
